summary_path,run_dir,output_name,family,variant,protocol,dataset,shots_per_class,seed,model_selection,selected_checkpoint,selected_epoch,elapsed_seconds,train.loss,train.acc,train.nlpd,train.ece,val.loss,val.acc,val.nlpd,val.ece,test.loss,test.acc,test.nlpd,test.ece,train.aece,train.raw_cov_99,train.sel_acc_99,train.reliable_99,train.cov_99,train.class_cov_99,train.raw_cov_95,train.sel_acc_95,train.reliable_95,train.cov_95,train.class_cov_95,train.raw_cov_90,train.sel_acc_90,train.reliable_90,train.cov_90,train.class_cov_90,train.raw_cov_85,train.sel_acc_85,train.reliable_85,train.cov_85,train.class_cov_85,train.raw_cov_80,train.sel_acc_80,train.reliable_80,train.cov_80,train.class_cov_80,val.aece,val.raw_cov_99,val.sel_acc_99,val.reliable_99,val.cov_99,val.class_cov_99,val.raw_cov_95,val.sel_acc_95,val.reliable_95,val.cov_95,val.class_cov_95,val.raw_cov_90,val.sel_acc_90,val.reliable_90,val.cov_90,val.class_cov_90,val.raw_cov_85,val.sel_acc_85,val.reliable_85,val.cov_85,val.class_cov_85,val.raw_cov_80,val.sel_acc_80,val.reliable_80,val.cov_80,val.class_cov_80,test.aece,test.raw_cov_99,test.sel_acc_99,test.reliable_99,test.cov_99,test.class_cov_99,test.raw_cov_95,test.sel_acc_95,test.reliable_95,test.cov_95,test.class_cov_95,test.raw_cov_90,test.sel_acc_90,test.reliable_90,test.cov_90,test.class_cov_90,test.raw_cov_85,test.sel_acc_85,test.reliable_85,test.cov_85,test.class_cov_85,test.raw_cov_80,test.sel_acc_80,test.reliable_80,test.cov_80,test.class_cov_80
/root/autodl-tmp/BayesVLM/output/text_only_bayes_coop_bayes/id/ucf101/logit_scale_frozen/shot_1/seed_1/summary.json,/root/autodl-tmp/BayesVLM/output/text_only_bayes_coop_bayes/id/ucf101/logit_scale_frozen/shot_1/seed_1,text_only_bayes_coop_bayes,text_only_bayes_coop,default,id,ucf101,1,1,last,last,300,4.94,0.1748677621973623,1.0,0.17486771941184998,0.15151558816432953,1.1185467461765881,0.6886195540428162,1.118546724319458,0.02642996422946453,1.234630940674538,0.655035674571991,1.234630823135376,0.058512091636657715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/autodl-tmp/BayesVLM/output/text_only_bayes_coop_bayes/id/ucf101/logit_scale_frozen/shot_16/seed_1/summary.json,/root/autodl-tmp/BayesVLM/output/text_only_bayes_coop_bayes/id/ucf101/logit_scale_frozen/shot_16/seed_1,text_only_bayes_coop_bayes,text_only_bayes_coop,default,id,ucf101,16,1,last,last,300,5.14,0.06273838578917013,1.0,0.06273838877677917,0.05733121559023857,0.46123150176318606,0.8630136847496033,0.4612314701080322,0.0168368611484766,0.7429589257806248,0.7874702215194702,0.7429589033126831,0.043929923325777054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/autodl-tmp/BayesVLM/output/text_only_bayes_coop_bayes/id/ucf101/logit_scale_frozen/shot_2/seed_1/summary.json,/root/autodl-tmp/BayesVLM/output/text_only_bayes_coop_bayes/id/ucf101/logit_scale_frozen/shot_2/seed_1,text_only_bayes_coop_bayes,text_only_bayes_coop,default,id,ucf101,2,1,last,last,300,4.79,0.4490922229124768,0.8811880946159363,0.44909220933914185,0.15223395824432373,0.9811381188283103,0.7044256925582886,0.9811381101608276,0.030404865741729736,1.103375891923211,0.6711603999137878,1.103375792503357,0.043426141142845154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/autodl-tmp/BayesVLM/output/text_only_bayes_coop_bayes/id/ucf101/logit_scale_frozen/shot_4/seed_1/summary.json,/root/autodl-tmp/BayesVLM/output/text_only_bayes_coop_bayes/id/ucf101/logit_scale_frozen/shot_4/seed_1,text_only_bayes_coop_bayes,text_only_bayes_coop,default,id,ucf101,4,1,last,last,300,4.85,0.062238642927443626,1.0,0.062238648533821106,0.05803445726633072,0.8686950382618558,0.7613276839256287,0.8686950206756592,0.04238834232091904,1.0596054911834047,0.716891348361969,1.0596054792404175,0.06612633913755417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/autodl-tmp/BayesVLM/output/text_only_bayes_coop_bayes/id/ucf101/logit_scale_frozen/shot_8/seed_1/summary.json,/root/autodl-tmp/BayesVLM/output/text_only_bayes_coop_bayes/id/ucf101/logit_scale_frozen/shot_8/seed_1,text_only_bayes_coop_bayes,text_only_bayes_coop,default,id,ucf101,8,1,last,last,300,5.0,0.04604596799553031,1.0,0.046045973896980286,0.04343396797776222,0.619564740750762,0.8177028298377991,0.6195647120475769,0.02050677314400673,0.8646293170799378,0.7541633248329163,0.863497257232666,0.06730245053768158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/root/autodl-tmp/BayesVLM/output/vlm_adapter/id/ucf101/BAYESADAPTER/BAYESADAPTER/logit_scale_frozen/prior_text_only__seed_1__last/shot_1/seed_1/summary.json,/root/autodl-tmp/BayesVLM/output/vlm_adapter/id/ucf101/BAYESADAPTER/BAYESADAPTER/logit_scale_frozen/prior_text_only__seed_1__last/shot_1/seed_1,vlm_adapter,vlm_adapter,BAYESADAPTER,id,ucf101,1,1,last,last,300,2.28,0.006406831555068493,1.0,0.006328631658107042,0.006301581859588623,0.9685284592705858,0.726554274559021,0.9668120741844177,0.07055012136697769,1.1141597357749182,0.6949511170387268,1.1122814416885376,0.0909060388803482,0.006301528156393826,0.8613861203193665,1.0,1.0,0.8613861203193665,0.8613861386138614,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07050627416629812,0.26923078298568726,0.9941291809082031,1.0,0.26923078298568726,0.7029702970297029,0.4236038029193878,0.9751243591308594,1.0,0.4236038029193878,0.9207920792079208,0.5021075010299683,0.962224543094635,1.0,0.5021075010299683,0.9801980198019802,0.5611169934272766,0.9361502528190613,1.0,0.5611169934272766,0.9900990099009901,0.6032665967941284,0.9179039597511292,1.0,0.6032665967941284,1.0,0.09098049883265172,0.2751784324645996,0.9846301674842834,0.0,0.0,0.0,0.42400211095809937,0.9663341641426086,1.0,0.42400211095809937,0.9306930693069307,0.5027755498886108,0.9400631189346313,1.0,0.5027755498886108,1.0,0.5527359247207642,0.9177427291870117,1.0,0.5527359247207642,1.0,0.5974094867706299,0.8973451256752014,1.0,0.5974094867706299,1.0
/root/autodl-tmp/BayesVLM/output/vlm_adapter/id/ucf101/BAYESADAPTER/BAYESADAPTER/logit_scale_frozen/prior_text_only__seed_1__last/shot_16/seed_1/summary.json,/root/autodl-tmp/BayesVLM/output/vlm_adapter/id/ucf101/BAYESADAPTER/BAYESADAPTER/logit_scale_frozen/prior_text_only__seed_1__last/shot_16/seed_1,vlm_adapter,vlm_adapter,BAYESADAPTER,id,ucf101,16,1,last,last,300,2.55,0.021323753004469495,1.0,0.02107691951096058,0.020529242232441902,0.39314525107312376,0.8888303637504578,0.3921426832675934,0.01707187481224537,0.6735536126021573,0.8054454326629639,0.6722647547721863,0.04438014328479767,0.020529343645171363,0.4919554591178894,1.0,1.0,0.4919554591178894,0.9603960396039604,0.8743811845779419,1.0,1.0,0.8743811845779419,1.0,0.9882425665855408,1.0,1.0,0.9882425665855408,1.0,0.9993811845779419,1.0,1.0,0.9993811845779419,1.0,1.0,1.0,1.0,1.0,1.0,0.022279524702669067,0.4399367868900299,0.9988024234771729,1.0,0.4399367868900299,0.9207920792079208,0.6185458302497864,0.9880749583244324,1.0,0.6185458302497864,0.9801980198019802,0.7007375955581665,0.9857142567634583,1.0,0.7007375955581665,1.0,0.7534246444702148,0.9797202944755554,1.0,0.7534246444702148,1.0,0.788724958896637,0.9766198992729187,1.0,0.788724958896637,1.0,0.04440539285930539,0.4007401466369629,0.9940633177757263,1.0,0.4007401466369629,0.9207920792079208,0.548506498336792,0.9812048077583313,1.0,0.548506498336792,1.0,0.6275442838668823,0.9633529782295227,1.0,0.6275442838668823,1.0,0.6738038659095764,0.950961172580719,1.0,0.6738038659095764,1.0,0.7086967825889587,0.9410667419433594,1.0,0.7086967825889587,1.0
/root/autodl-tmp/BayesVLM/output/vlm_adapter/id/ucf101/BAYESADAPTER/BAYESADAPTER/logit_scale_frozen/prior_text_only__seed_1__last/shot_2/seed_1/summary.json,/root/autodl-tmp/BayesVLM/output/vlm_adapter/id/ucf101/BAYESADAPTER/BAYESADAPTER/logit_scale_frozen/prior_text_only__seed_1__last/shot_2/seed_1,vlm_adapter,vlm_adapter,BAYESADAPTER,id,ucf101,2,1,last,last,300,2.23,0.014844842255115509,1.0,0.01466429140418768,0.014497160911560059,0.8409281524390892,0.7629083395004272,0.8392927050590515,0.04598730430006981,0.9752923226249366,0.730108380317688,0.9734345078468323,0.0621681809425354,0.014497098061117797,0.4356435537338257,1.0,1.0,0.4356435537338257,0.6237623762376238,0.9900990128517151,1.0,1.0,0.9900990128517151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.046073014731150906,0.276606947183609,0.9980952143669128,1.0,0.276606947183609,0.7227722772277227,0.4336143434047699,0.984204113483429,1.0,0.4336143434047699,0.9405940594059405,0.521601676940918,0.9686868786811829,1.0,0.521601676940918,0.9603960396039604,0.5821917653083801,0.9529411792755127,1.0,0.5821917653083801,1.0,0.6427818536758423,0.9311475157737732,1.0,0.6427818536758423,1.0,0.06089019552050462,0.27544277906417847,0.9952015280723572,1.0,0.27544277906417847,0.7227722772277227,0.4295532703399658,0.9716923236846924,1.0,0.4295532703399658,0.9405940594059405,0.5064763426780701,0.955636739730835,1.0,0.5064763426780701,0.9702970297029703,0.5551149845123291,0.9385714530944824,1.0,0.5551149845123291,0.9801980198019802,0.6042823195457458,0.9216972589492798,1.0,0.6042823195457458,1.0
/root/autodl-tmp/BayesVLM/output/vlm_adapter/id/ucf101/BAYESADAPTER/BAYESADAPTER/logit_scale_frozen/prior_text_only__seed_1__last/shot_4/seed_1/summary.json,/root/autodl-tmp/BayesVLM/output/vlm_adapter/id/ucf101/BAYESADAPTER/BAYESADAPTER/logit_scale_frozen/prior_text_only__seed_1__last/shot_4/seed_1,vlm_adapter,vlm_adapter,BAYESADAPTER,id,ucf101,4,1,last,last,300,2.47,0.01647544135846714,1.0,0.01628146879374981,0.016041874885559082,0.7229795013765389,0.8008430004119873,0.7215344905853271,0.03630394861102104,0.8951667963182236,0.7486122250556946,0.8935604095458984,0.06319118291139603,0.016041853640339162,0.4306930601596832,1.0,1.0,0.4306930601596832,0.7623762376237624,0.9702970385551453,1.0,1.0,0.9702970385551453,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.036627415108354135,0.3298208713531494,0.9968051314353943,1.0,0.3298208713531494,0.801980198019802,0.49947312474250793,0.9799578189849854,1.0,0.49947312474250793,0.9306930693069307,0.5958904027938843,0.9610963463783264,1.0,0.5958904027938843,0.9801980198019802,0.6506849527359009,0.9546558856964111,1.0,0.6506849527359009,1.0,0.6912539601325989,0.9405487775802612,1.0,0.6912539601325989,1.0,0.06354666828022033,0.3214380145072937,0.9925987124443054,1.0,0.3214380145072937,0.801980198019802,0.4705260396003723,0.9741572737693787,1.0,0.4705260396003723,0.9306930693069307,0.5474491119384766,0.95557701587677,1.0,0.5474491119384766,0.9900990099009901,0.5982024669647217,0.9385771155357361,1.0,0.5982024669647217,1.0,0.6420829892158508,0.921366810798645,1.0,0.6420829892158508,1.0
/root/autodl-tmp/BayesVLM/output/vlm_adapter/id/ucf101/BAYESADAPTER/BAYESADAPTER/logit_scale_frozen/prior_text_only__seed_1__last/shot_8/seed_1/summary.json,/root/autodl-tmp/BayesVLM/output/vlm_adapter/id/ucf101/BAYESADAPTER/BAYESADAPTER/logit_scale_frozen/prior_text_only__seed_1__last/shot_8/seed_1,vlm_adapter,vlm_adapter,BAYESADAPTER,id,ucf101,8,1,last,last,300,2.37,0.017024359758021218,1.0,0.016820969060063362,0.016522513702511787,0.5385972736884218,0.8508957028388977,0.5373523235321045,0.027542252093553543,0.7674372832736671,0.778747022151947,0.7660459280014038,0.05707281082868576,0.01652253728986967,0.48514851927757263,1.0,1.0,0.48514851927757263,0.8910891089108911,0.9356435537338257,1.0,1.0,0.9356435537338257,1.0,0.9987623691558838,1.0,1.0,0.9987623691558838,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.022762381113492526,0.3946259319782257,0.9946595430374146,1.0,0.3946259319782257,0.8910891089108911,0.5605900883674622,0.9830827116966248,1.0,0.5605900883674622,0.9801980198019802,0.6443625092506409,0.9721994996070862,1.0,0.6443625092506409,1.0,0.6938883066177368,0.9589977264404297,1.0,0.6938883066177368,1.0,0.7413066625595093,0.9474058151245117,1.0,0.7413066625595093,1.0,0.0572996336160247,0.35553792119026184,0.994795560836792,1.0,0.35553792119026184,0.8712871287128713,0.515199601650238,0.9733196496963501,1.0,0.515199601650238,0.9801980198019802,0.5860428214073181,0.9580514430999756,1.0,0.5860428214073181,0.9900990099009901,0.6399682760238647,0.939694344997406,1.0,0.6399682760238647,1.0,0.6838487982749939,0.925396203994751,1.0,0.6838487982749939,1.0
/root/autodl-tmp/BayesVLM/output/vlm_adapter/id/ucf101/BAYESADAPTER/BAYESADAPTER/logit_scale_frozen/prior_text_only__seed_2__last/shot_1/seed_2/summary.json,/root/autodl-tmp/BayesVLM/output/vlm_adapter/id/ucf101/BAYESADAPTER/BAYESADAPTER/logit_scale_frozen/prior_text_only__seed_2__last/shot_1/seed_2,vlm_adapter,vlm_adapter,BAYESADAPTER,id,ucf101,1,2,last,last,300,2.18,0.007102783303707838,1.0,0.007009108550846577,0.0069651007652282715,1.0845163793031232,0.7249736785888672,1.0827350616455078,0.07603715360164642,1.101656876825448,0.7012952566146851,1.0998436212539673,0.08558260649442673,0.006965092503198303,0.8613861203193665,1.0,1.0,0.8613861203193665,0.8613861386138614,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07603715751143476,0.26923078298568726,0.9823874831199646,0.0,0.0,0.0,0.42307692766189575,0.9601494669914246,1.0,0.42307692766189575,0.8811881188118812,0.508956789970398,0.9389234185218811,1.0,0.508956789970398,0.9504950495049505,0.5700737833976746,0.9177449345588684,1.0,0.5700737833976746,0.9801980198019802,0.6217070817947388,0.8983050584793091,1.0,0.6217070817947388,1.0,0.0856646344936181,0.26830556988716125,0.9871920943260193,0.0,0.0,0.0,0.4203013479709625,0.9584905505180359,1.0,0.4203013479709625,0.9405940594059405,0.49537405371665955,0.9306296706199646,1.0,0.49537405371665955,0.9900990099009901,0.5479778051376343,0.913651704788208,1.0,0.5479778051376343,1.0,0.5950304269790649,0.8929364681243896,1.0,0.5950304269790649,1.0
